Date,writer,text,comment_num,retweet_num,like_num,Cashtags,code
5/5/2014,CNBCnow,EARNINGS ALERT: Microsoft Q3 EPS $0.61 vs. $0.51 Est.; Q3 Revs. $21.7B vs. $21.06B Est. • $MSFT QUOTE: http://cnb.cx/qHjSgl,0,37,12,MSFT,MSFT
5/2/2014,crystalxlau,#BREAKING: Microsoft earnings BEAT: EPS $0.61 vs $0.51 est. REV $21.73B vs $21.06B est. $MSFT,0,0,0,MSFT,MSFT
5/1/2014,CNBCClosingBell,#BREAKING: Microsoft earnings BEAT: EPS $0.61 vs $0.51 est. REV $21.73B vs $21.06B est. $MSFT,0,5,1,MSFT,MSFT
4/30/2014,MattSoleyn,"#Microsoft reports quarterly earnings $0.61/share, above $0.51/share expectation. Revenue $21.7B, above $21.1B expected. $MSFT #finance",0,0,0,MSFT,MSFT
4/29/2014,marketstocknews,RT CNBCnow: EARNINGS ALERT: Microsoft Q3 EPS $0.61 vs. $0.51 Est.; Q3 Revs. $21.7B vs. $21.06B Est. • $MSFT QUOTE: http://cnb.cx/qHjSgl,0,0,0,MSFT,MSFT
4/28/2014,CNBCnow,EARNINGS ALERT: Microsoft Q1 EPS $0.67 Adj. vs. $0.59 Est.; Q1 Revs. $21.66B vs. $21.03B Est. • $MSFT QUOTE:,0,50,16,MSFT,MSFT
4/25/2014,crazyfasteddy,Retweeted BenzingaPro (@BenzingaPro):Microsoft Reports Q1 EPS $0.67 vs $0.59 Est. Q1 Sales $21.7B vs $21.03B Est. $MSFT,0,0,0,MSFT,MSFT
4/24/2014,JoeHsieh24,Microsoft reports Q1 EPS of $0.67 vs. $0.59 estimates. Sales $21.7 billion vs. $21.03 billion $MSFT,0,0,0,MSFT,MSFT
4/23/2014,marketstocknews,RT CNBCnow: EARNINGS ALERT: Microsoft Q1 EPS $0.67 Adj. vs. $0.59 Est.; Q1 Revs. $21.66B vs. $21.03B Est. • $MSFT … http://cnb.cx/qHjSgl,0,1,1,MSFT,MSFT
4/22/2014,CNBCnow,EARNINGS ALERT: Microsoft Q4 EPS $0.62 Adj. vs. $0.56 Est.; Q4 Revs. $22.18B vs. $22.03B Est. • $MSFT QUOTE:,0,50,11,MSFT,MSFT
4/21/2014,supert3d1975,"Microsoft beats on EPS and revenue. Reports Q4 EPS $0.62 vs. Est. $0.54, Rev. $22.18B vs. Est. $22.06B $MSFT",0,0,1,MSFT,MSFT
4/17/2014,CNBCnow,EARNINGS ALERT: Microsoft Q2 EPS $0.78 Adj. vs. $0.71 Est.; Q2 Revs. $25.7B vs. $25.26B Est. • $MSFT,0,54,15,MSFT,MSFT
4/16/2014,fxzoneofficial,RT  EARNINGS ALERT: Microsoft Q2 EPS $0.78 Adj. vs. $0.71 Est.; Q2 Revs. $25.7B vs. $25.26B Est. • $MSFT#Forex,0,0,0,MSFT,MSFT
4/15/2014,RodMrRealEstate,rt: CNBC: RT CNBCnow: EARNINGS ALERT: Microsoft Q2 EPS $0.78 Adj. vs. $0.71 Est.; Q2 Revs. $25.7B vs. $25.26B Est. • $MSFT #TampaRealtor,0,0,0,MSFT,MSFT
4/14/2014,crazyfasteddy,Retweeted CNBC Now (@CNBCnow):EARNINGS ALERT: Microsoft Q2 EPS $0.78 Adj. vs. $0.71 Est.; Q2 Revs. $25.7B vs. $25.26B Est. • $MSFT,0,0,0,MSFT,MSFT
4/11/2014,marketstocknews,RT CNBCnow: EARNINGS ALERT: Microsoft Q2 EPS $0.78 Adj. vs. $0.71 Est.; Q2 Revs. $25.7B vs. $25.26B Est. • $MSFT,0,0,0,MSFT,MSFT
4/10/2014,CNBCnow,EARNINGS ALERT: Microsoft Q2 EPS $0.71 vs. $0.71 Est.; Q2 Revs. $26.47B vs. $26.30B Est. • $MSFT QUOTE: http://cnb.cx/qHjSgl,1,33,8,MSFT,MSFT
4/9/2014,phab24,EARNINGS ALERT: Microsoft Q2 EPS $0.71 vs. $0.71 Est.; Q2 Revs. $26.47B vs. $26.30B Est. • $MSFT QUOTE: http://cnb.cx/qHjSgl,0,0,0,MSFT,MSFT
4/8/2014,SwingTradeAlert,CNBC:EARNINGS ALERT: Microsoft Q2 EPS $0.71 vs. $0.71 Est.; Q2 Revs. $26.47B vs. $26.30B Est. • $MSFT QUOTE: http://cnb.cx/qHjSgl,0,0,0,MSFT,MSFT
4/7/2014,marketstocknews,RT CNBCnow: EARNINGS ALERT: Microsoft Q2 EPS $0.71 vs. $0.71 Est.; Q2 Revs. $26.47B vs. $26.30B Est. • $MSFT QUOTE: http://cnb.cx/qHjSgl,0,0,0,MSFT,MSFT
4/4/2014,GaryDownie,EARNINGS: Microsoft EPS $0.71 vs. $0.71 Est.; Revs. $26.47B vs. $26.30B Est. Strong US Dollar will hurt international sales. • $MSFT,0,0,0,MSFT,MSFT
4/3/2014,BenzingaPro,Microsoft Reports Q3 EPS $0.61 Vs Est $0.52 $MSFT,0,1,0,MSFT,MSFT
4/2/2014,_PeterMartin,Microsoft big beat on earnings with $0.62 per share vs expectations $0.56 $MSFT,0,0,0,MSFT,MSFT
4/1/2014,HilaryKramer,"EPS of $0.62 beat expectations by $0.06, while revenue was better than expected. However, $MSFT missed estimates on commercial revenue.",0,0,0,MSFT,MSFT
3/31/2014,App_sw_,"#Microsoft's Q3 misses with EPS of $0.62, revenue in line at $22.1B. Read more: http://owler.us/abf1x2 $MSFT",0,0,0,MSFT,MSFT
3/28/2014,App_sw_,"#Microsoft's Q3 misses with EPS of $0.62, revenue in line at $22.1B. Read more: http://owler.us/abgk8F $MSFT",0,0,0,MSFT,MSFT
3/27/2014,Stocktwits,Microsoft reports Q2 EPS of $0.71. Sales of $26.5B.Analysts expected EPS of $0.71. Sales of $26.33B. $MSFT: http://stks.co/c1YVJ,0,9,4,MSFT,MSFT
3/26/2014,MattSoleyn,"#Microsoft EPS $0.71, in-line with expectations. $26.47B in revenue, above $26.3B expected. 114% gain in cloud revenue. #finance $MSFT",0,0,0,MSFT,MSFT
3/25/2014,Stocktwits,Microsoft reports earnings after today's closing bell. Analysts expect $0.71 EPS and $26.3B revenue. http://stks.co/a1YSI $MSFT,0,2,1,MSFT,MSFT
3/24/2014,LiveStockTips,#Microsoft reports earnings after today's closing bell. Analysts expect $0.71 EPS and $26.3B revenue $MSFT,0,0,0,MSFT,MSFT
3/21/2014,TheDomino,Headline #'s to expect from Microsoft earnings after the close...EPS $0.71Revenues $26.3BOptions market pricing in +/- 3.4% move $MSFT,2,3,1,MSFT,MSFT
3/20/2014,AmericanBanking,Microsoft announces earnings. $0.71 EPS. Meets estimates. $26.47b revenue. http://ift.tt/1JRa3vp $MSFT #MSFT,0,1,1,MSFT,MSFT
3/19/2014,GarethSoloway,Nice way to start the day: $0.20 scalp short on $MSFT in the #IntraDayStockChat. Took 60 seconds to make $600 profit. #Congrats #Members,0,1,1,MSFT,MSFT
3/18/2014,OptionsAction,Dan's bullish trade on Microsoft: Buy March 44-strike call for $0.62 $MSFT,0,0,2,MSFT,MSFT
3/17/2014,MarketCurrents,Microsoft declares $0.31 dividend http://seekingalpha.com/news/2359466-microsoft-declares-0_31-dividend?source=feed_f… #premarket $MSFT,0,1,0,MSFT,MSFT
3/14/2014,MarketCurrents,"Microsoft beats by $0.10, beats on revenue http://seekingalpha.com/news/2449456-microsoft-beats-by-0_10-beats-on-revenue?source=feed_f… $MSFT",1,0,0,MSFT,MSFT
3/13/2014,bbtO_Garcia,"Microsoft beats by $0.10, beats on revenue http://seekingalpha.com/news/2449456-microsoft-beats-by-0_10-beats-on-revenue?source=tweet… $MSFT",0,0,0,MSFT,MSFT
3/12/2014,nickpatience,"Microsoft beats by $0.10, beats on revenue http://ow.ly/M2d0y via @SeekingAlpha $MSFT",0,0,0,MSFT,MSFT
3/11/2014,thewavetrading,"Microsoft beats by $0.10, beats on revenue $MSFT http://seekingalpha.com/news/2449456",0,0,0,MSFT,MSFT
3/10/2014,PrivateCapBlog,"Microsoft beats by $0.10, beats on revenue $MSFT",0,0,0,MSFT,MSFT
3/7/2014,JoaquimAgusti,"Microsoft beats by $0.10, beats on revenue http://seekingalpha.com/news/2449456-microsoft-beats-by-0_10-beats-on-revenue?source=tweet… $MSFT",0,0,0,MSFT,MSFT
3/6/2014,dakotafinancial,Microsoft Co. Plans Dividend of $0.31 $MSFT http://ift.tt/1EIaVPR,0,0,0,MSFT,MSFT
3/5/2014,MarketCurrents,Microsoft declares $0.31 dividend http://seekingalpha.com/news/2570656-microsoft-declares-0_31-dividend?source=feed_f… $MSFT,0,0,0,MSFT,MSFT
3/4/2014,dakotafinancial,Microsoft Co. Declares Quarterly Dividend of $0.31 $MSFT http://ift.tt/1FHCIRT,0,0,0,MSFT,MSFT
3/3/2014,PrivateCapBlog,Microsoft declares $0.31 dividend $MSFT,0,0,0,MSFT,MSFT
2/28/2014,toyotome,Microsoft declares $0.31 dividend $MSFT http://seekingalpha.com/news/2570656,0,0,0,MSFT,MSFT
2/27/2014,Sentifi_US,#Microsoft Declares Quarterly Dividend of $0.31 per share http://reut.rs/1e4RATQ More about @Microsoft: http://bit.ly/1wpK5rp $MSFT,0,0,0,MSFT,MSFT
2/26/2014,AComstockBW,Microsoft lost $0.12 on every phone they sold before it left the facotry. http://buff.ly/1NQBU1N via @WSJ $MSFT,0,0,0,MSFT,MSFT
2/25/2014,MattSoleyn,"#Microsoft EPS $0.62, above expectations. $MSFT #finance",0,0,0,MSFT,MSFT
2/24/2014,MarketCurrents,"Microsoft beats by $0.06, beats on revenue http://seekingalpha.com/news/2642745-microsoft-beats-by-0_06-beats-on-revenue?source=feed_f… $MSFT",0,1,1,MSFT,MSFT
2/21/2014,MarketCurrents,"Microsoft beats by $0.06, beats on revenue http://seekingalpha.com/news/2642765-microsoft-beats-by-0_06-beats-on-revenue?source=feed_f… $MSFT",0,3,0,MSFT,MSFT
2/20/2014,FXPIPTITAN,"Microsoft beats by $0.06, beats on revenue $MSFT",0,1,0,MSFT,MSFT
2/19/2014,AmericanBanking,Microsoft announces earnings. $0.62 EPS. Beats estimates. http://ift.tt/1Ih6q4N $MSFT #MSFT,0,0,0,MSFT,MSFT
2/18/2014,dboysinc,"Microsoft beats by $0.06, beats on revenue $MSFT",0,0,0,MSFT,MSFT
2/14/2014,morganbrock64,"Microsoft beats by $0.06, beats on revenue http://m.seekingalpha.com/news/2642765?source=ansh… $MSFT",0,0,0,MSFT,MSFT
2/13/2014,morganbrock64,"Microsoft beats by $0.06, beats on revenue http://m.seekingalpha.com/news/2642745?source=ansh… $MSFT",0,0,0,MSFT,MSFT
2/12/2014,ZacksResearch,Microsoft topped earnings estimates last night at $0.65 per share. $MSFT http://stks.co/d2GE6,0,0,0,MSFT,MSFT
2/11/2014,MarketCurrents,Microsoft declares $0.36 dividend http://seekingalpha.com/news/2780016-microsoft-declares-0_36-dividend?source=feed_f… $MSFT,0,1,1,MSFT,MSFT
2/10/2014,NedEvansnedd,Microsoft declares $0.36 dividend http://seekingalpha.com/news/2780016-microsoft-declares-0_36-dividend?source=tweet… $MSFT,0,0,0,MSFT,MSFT
2/7/2014,CNBCnow,Microsoft announces increase in quarterly dividend by 16% to $0.36. • $MSFT,1,26,16,MSFT,MSFT
